iter	Logloss
0	0.6227845482
1	0.5348309446
2	0.4890468884
3	0.4455686579
4	0.3983096077
5	0.3723926543
6	0.3582156974
7	0.3353977753
8	0.3225543304
9	0.3144178396
10	0.3039333503
11	0.2972842026
12	0.2842493404
13	0.2792619035
14	0.2754324412
15	0.2708449168
16	0.2668673497
17	0.2640300854
18	0.2609959972
19	0.2587231475
20	0.2532662211
21	0.2508929757
22	0.2484946814
23	0.2438829208
24	0.2373795101
25	0.2363671219
26	0.2348152635
27	0.2305931423
28	0.2288259905
29	0.2276113327
30	0.2266785282
31	0.2250835428
32	0.2238900664
33	0.2230573566
34	0.2218763185
35	0.2180278778
36	0.2175167091
37	0.2154475777
38	0.2147683502
39	0.2118403329
40	0.207963489
41	0.2071873152
42	0.2063820463
43	0.2044392552
44	0.2040350825
45	0.2031266761
46	0.2018843517
47	0.2014764833
48	0.2006052342
49	0.1999463717
50	0.1975417485
51	0.1962640945
52	0.1957780784
53	0.193684374
54	0.1917230979
55	0.1915080582
56	0.1893563974
57	0.187920057
58	0.1876098204
59	0.1864469549
60	0.1858697223
61	0.1850741057
62	0.184436026
63	0.1841592809
64	0.1828011315
65	0.1817158035
66	0.1812079497
67	0.1797997039
68	0.1794077141
69	0.1788167229
70	0.1774282198
71	0.1772448619
72	0.1770785518
73	0.1768040809
74	0.1755694595
75	0.1750193212
76	0.1742065523
77	0.1724034062
78	0.1720012504
79	0.1716044491
80	0.1712878874
81	0.1710991636
82	0.1709097308
83	0.1703015808
84	0.1697424857
85	0.1695702324
86	0.1692876795
87	0.1681343024
88	0.1673319613
89	0.1665053748
90	0.1662920542
91	0.165866865
92	0.1653313809
93	0.164531394
94	0.1640137516
95	0.162953567
96	0.1616370013
97	0.1612054908
98	0.1607712654
99	0.1603940547
100	0.1601517093
101	0.1598802899
102	0.1596961618
103	0.1592976966
104	0.1590472333
105	0.1577502292
106	0.1571965012
107	0.156921415
108	0.1558960456
109	0.155153708
110	0.1545146775
111	0.1543976155
112	0.1542709144
113	0.1541873443
114	0.1528828503
115	0.1526854166
116	0.1519672939
117	0.1508838444
118	0.1495231917
119	0.1487014034
120	0.1481358216
121	0.1474763505
122	0.1472503543
123	0.1465850899
124	0.1458798957
125	0.1450955466
126	0.1448659106
127	0.1444393242
128	0.1432303037
129	0.1429325464
130	0.1428149119
131	0.1415344956
132	0.1410701314
133	0.140670451
134	0.1402333335
135	0.1397296678
136	0.1392714061
137	0.138883005
138	0.1386168869
139	0.1382328889
140	0.1380761982
141	0.1380583643
142	0.1377311448
143	0.1369826081
144	0.1363261111
145	0.1362999027
146	0.1358619578
147	0.1355559983
148	0.1354024988
149	0.134886237
150	0.1345023826
151	0.1341029251
152	0.1335413328
153	0.133395102
154	0.1326212416
155	0.1324932657
156	0.1319544384
157	0.1316648599
158	0.1315418077
159	0.1305993579
160	0.1301599996
161	0.1294312376
162	0.1290088273
163	0.1286620719
164	0.1285338856
165	0.1281958837
166	0.1281397672
167	0.1280176404
168	0.1278861921
169	0.1277497344
170	0.1275283242
171	0.1271550611
172	0.1267843882
173	0.1266927866
174	0.1266147439
175	0.1262977512
176	0.1259331044
177	0.1258681532
178	0.1258295645
179	0.1255129562
180	0.1251811299
181	0.1251248925
182	0.1250335582
183	0.1248007618
184	0.1247390161
185	0.1246985965
186	0.1246654315
187	0.1243161736
188	0.123842664
189	0.1237876955
190	0.1236207782
191	0.123346725
192	0.1229848136
193	0.1228967908
194	0.1223639589
195	0.1222716953
196	0.12162414
197	0.120871212
198	0.1205945256
199	0.1201429492
200	0.1197066489
201	0.1195447766
202	0.1191277119
203	0.1186018011
204	0.118310181
205	0.1181180215
206	0.1177348526
207	0.117457379
208	0.1168517628
209	0.1162774349
210	0.1161076034
211	0.1160674751
212	0.1160326643
213	0.1157981826
214	0.1157587914
215	0.1157071701
216	0.1155463868
217	0.1150684556
218	0.1150206104
219	0.1149441757
220	0.1143597052
221	0.1142449363
222	0.1137030008
223	0.1136302752
224	0.113008271
225	0.1128740034
226	0.1123704786
227	0.1120554284
228	0.1114396998
229	0.1108110176
230	0.1106641448
231	0.1105432311
232	0.1105020269
233	0.1101530812
234	0.1095374473
235	0.1091708962
236	0.1088621055
237	0.1086983032
238	0.1084282067
239	0.1079716218
240	0.10781908
241	0.1073968871
242	0.1072656154
243	0.1069490048
244	0.1063525953
245	0.1060610604
246	0.10602127
247	0.1055588847
248	0.1051548711
249	0.1051242569
250	0.1050297854
251	0.1048730384
252	0.1046264845
253	0.1044147162
254	0.104101227
255	0.1040668789
256	0.1038635837
257	0.1036473311
258	0.1036135962
259	0.1034628451
260	0.1032285071
261	0.1030872488
262	0.1027898359
263	0.1023293385
264	0.1020614675
265	0.1016966471
266	0.1013501522
267	0.1010737747
268	0.1009474497
269	0.1007231558
270	0.1004007185
271	0.1001097844
272	0.0999143047
273	0.09971195936
274	0.09948395993
275	0.0989954814
276	0.09873512699
277	0.09864523018
278	0.09854701376
279	0.09822726926
280	0.09786620468
281	0.09751948697
282	0.09732390584
283	0.09692437447
284	0.09655153608
285	0.09609564313
286	0.09593199922
287	0.09590243433
288	0.0955145085
289	0.09546993943
290	0.09534825399
291	0.09486749126
292	0.09456909148
293	0.09390166438
